id,random_int,random_float,random_date,category,boolean
147,419,66.30073461417759,2020-05-26,C,True
148,289,54.8382036195654,2020-05-27,E,False
149,379,87.92551148463846,2020-05-28,B,True
150,773,67.55800919502597,2020-05-29,C,False
151,490,54.696325137138814,2020-05-30,C,False
152,231,82.97631202876448,2020-05-31,A,True
153,41,60.61465649334797,2020-06-01,D,True
154,28,29.1144247785179,2020-06-02,A,False
155,135,20.70949181765712,2020-06-03,E,False
156,201,15.232778566267879,2020-06-04,B,False
157,840,89.94552125461016,2020-06-05,D,True
158,780,71.01354317980658,2020-06-06,N,True
159,930,93.73784381643208,2020-06-07,C,False
160,33,60.3291805714943,2020-06-08,C,False
161,48,47.34008814949126,2020-06-09,D,True
162,503,5.971648897088933,2020-06-10,C,True
163,407,67.16422815460298,2020-06-11,N,True
164,574,58.220875976823116,2020-06-12,A,True
165,728,99.02088935876215,2020-06-13,C,False
166,805,23.915877778224303,2020-06-14,C,False
167,99,53.073735528683585,2020-06-15,E,False
168,684,65.09573351180727,2020-06-16,B,True
169,872,64.45911747423436,2020-06-17,D,True
170,726,56.12935429484027,2020-06-18,A,True
171,987,77.69280103272254,2020-06-19,D,False
172,547,,2020-06-20,N,False
173,961,72.56272002744159,2020-06-21,A,False
174,739,61.97345714330892,2020-06-22,E,True
175,613,89.60751117945733,2020-06-23,E,True
176,943,84.71944390335817,2020-06-24,C,False
177,462,31.514703913255325,2020-06-25,D,True
178,643,27.623732497515306,2020-06-26,D,False
179,769,98.16533238524478,2020-06-27,C,False
180,5,52.726518091525655,2020-06-28,D,False
181,218,90.64209639144369,2020-06-29,N,False
182,503,16.38810237804822,2020-06-30,A,True
183,767,64.28189148001742,2020-07-01,E,True
184,398,80.98601873605861,2020-07-02,N,True
185,871,94.73952495864468,2020-07-03,N,True
186,795,33.73401410170235,2020-07-04,B,True
187,393,72.49811699240524,2020-07-05,E,False
188,207,53.8813009039619,2020-07-06,C,False
189,15,6.06289260664682,2020-07-07,B,True
190,858,68.99997373089434,2020-07-08,B,True
191,554,69.00965582378434,2020-07-09,E,True
192,892,93.0606804846537,2020-07-10,E,False
193,461,49.73124461689724,2020-07-11,E,True
194,691,23.025092071051468,2020-07-12,C,False
195,575,,2020-07-13,B,True
196,864,41.56421866859057,2020-07-14,D,True
197,743,,2020-07-15,C,True
198,241,76.10883060238756,2020-07-16,A,False
199,564,35.426776484104664,2020-07-17,E,False
200,96,94.90711963148439,2020-07-18,B,True
201,900,96.23102029877842,2020-07-19,C,True
202,734,62.090859021770804,2020-07-20,A,True
203,485,92.86602870148829,2020-07-21,C,False
204,407,76.08543445144956,2020-07-22,C,False
205,231,54.68596409751262,2020-07-23,D,True
206,749,18.030793542277813,2020-07-24,D,False
207,655,45.859794351384,2020-07-25,C,False
208,171,56.087446336261756,2020-07-26,A,False
209,541,86.39615807350101,2020-07-27,B,False
210,36,48.133337653566485,2020-07-28,B,True
211,525,89.76746726779567,2020-07-29,E,True
212,160,67.43489790234689,2020-07-30,E,False
213,839,13.699906305367138,2020-07-31,B,False
214,699,99.4981369325093,2020-08-01,C,False
215,243,52.723266075391265,2020-08-02,C,True
216,86,39.18582964090789,2020-08-03,D,True
217,796,65.91137644695266,2020-08-04,D,False
218,578,10.889331398103907,2020-08-05,E,False
219,682,63.653864675335434,2020-08-06,B,False
220,557,49.82360004992729,2020-08-07,C,False
221,574,40.667406999858315,2020-08-08,B,True
222,953,95.30200211788991,2020-08-09,A,True
223,646,52.25397167320532,2020-08-10,N,True
224,796,21.91174794699384,2020-08-11,A,True
225,28,45.896347937729864,2020-08-12,D,True
226,620,91.93874045726727,2020-08-13,N,True
227,556,17.609547133059465,2020-08-14,E,False
228,340,21.39570386882369,2020-08-15,B,False
229,798,1.3029567757083749,2020-08-16,B,True
230,958,1.419004939576718,2020-08-17,A,True
231,331,82.93916269585125,2020-08-18,D,True
232,640,73.21226068429559,2020-08-19,A,False
233,506,35.50410564519583,2020-08-20,D,False
234,348,69.83111572275727,2020-08-21,A,False
235,473,39.52059263099702,2020-08-22,D,False
236,231,,2020-08-23,A,True
237,190,96.70526814260349,2020-08-24,D,False
238,225,39.27937758093434,2020-08-25,A,True
239,385,85.4221906340868,2020-08-26,B,False
240,377,77.30890416974661,2020-08-27,E,False
241,283,30.99999371717893,2020-08-28,A,False
242,958,23.2039828901106,2020-08-29,E,False
243,633,45.823465039283384,2020-08-30,B,True
244,628,78.13488406144063,2020-08-31,B,True
245,973,96.01677847287455,2020-09-01,D,True
246,745,76.35790688665726,2020-09-02,E,True
247,259,,2020-09-03,C,True
248,359,60.30643061705165,2020-09-04,D,False
249,710,83.54078308421259,2020-09-05,E,True
250,456,78.44208580034177,2020-09-06,A,False
251,411,37.69855419262801,2020-09-07,A,True
252,649,55.19903021207211,2020-09-08,B,False
253,318,80.47531219896949,2020-09-09,C,True
254,677,4.605673418995638,2020-09-10,A,False
255,225,80.80792823558299,2020-09-11,E,True
256,819,17.788812404902345,2020-09-12,E,False
257,234,51.468361712143896,2020-09-13,A,True
258,684,80.82754395559377,2020-09-14,E,True
259,664,25.382107815669485,2020-09-15,N,True
260,975,,2020-09-16,B,True
261,827,40.27643984622519,2020-09-17,C,False
262,374,89.46427975776345,2020-09-18,B,False
263,672,0.04427814372078842,2020-09-19,C,True
264,608,90.1383096641935,2020-09-20,E,False
265,472,15.380702464160779,2020-09-21,C,True
266,233,99.00863760674821,2020-09-22,E,False
267,692,95.48469930384681,2020-09-23,E,False
268,113,,2020-09-24,B,True
269,830,51.272024781262814,2020-09-25,B,True
270,497,48.154934027585426,2020-09-26,D,False
271,442,63.54436456595226,2020-09-27,A,True
272,564,9.072170223493103,2020-09-28,D,False
273,268,3.2617948341566505,2020-09-29,D,True
274,510,5.770292841589885,2020-09-30,C,False
275,807,44.43653492415144,2020-10-01,E,False
276,386,27.554793921948338,2020-10-02,E,True
277,387,62.203956237099376,2020-10-03,E,True
278,113,99.2442289374779,2020-10-04,A,True
279,613,38.63231730764659,2020-10-05,C,False
280,625,57.38412541045134,2020-10-06,N,False
281,952,41.56038959073355,2020-10-07,E,False
282,81,84.72716677218594,2020-10-08,D,True
283,699,90.22364034622382,2020-10-09,A,False
284,113,,2020-10-10,D,True
285,2,97.43722386792577,2020-10-11,B,True
286,642,,2020-10-12,C,False
287,220,83.9816162145531,2020-10-13,C,True
288,566,,2020-10-14,D,False
289,855,22.86944094003648,2020-10-15,A,True
290,997,95.63200933875275,2020-10-16,C,False
291,736,14.817792822994546,2020-10-17,D,True
292,225,67.95499271339084,2020-10-18,A,False
293,385,22.489021681591247,2020-10-19,D,True
294,403,43.138064877407466,2020-10-20,A,False
295,638,71.9159896944569,2020-10-21,E,False
296,130,56.33246420330467,2020-10-22,A,True
297,53,42.75018313281117,2020-10-23,B,False
298,684,32.63384309319872,2020-10-24,E,False
299,730,,2020-10-25,D,True
300,672,14.38143503148137,2020-10-26,E,True
301,710,43.010287652980004,2020-10-27,E,True
302,416,90.37575717751422,2020-10-28,D,True
303,247,84.58495504599676,2020-10-29,D,True
304,836,40.09417624730467,2020-10-30,B,True
305,439,76.31083636013084,2020-10-31,N,False
306,203,82.31608307088592,2020-11-01,C,False
307,184,88.88874240036297,2020-11-02,C,False
308,123,54.4505769049228,2020-11-03,B,True
309,401,20.44608860547118,2020-11-04,A,True
310,767,25.530907650393164,2020-11-05,A,False
311,294,29.56946740416042,2020-11-06,C,False
312,280,59.38024808096155,2020-11-07,D,True
313,837,3.280962412860844,2020-11-08,B,False
314,884,63.60424687799683,2020-11-09,A,True
315,610,36.4354238428232,2020-11-10,A,True
316,198,29.524180248964214,2020-11-11,E,False
317,982,87.94965707281264,2020-11-12,C,True
318,907,46.00023955807989,2020-11-13,D,True
319,511,9.505304553269278,2020-11-14,B,True
320,752,82.6746768026247,2020-11-15,A,True
321,144,,2020-11-16,E,False
322,609,72.67492241681967,2020-11-17,C,True
323,201,77.39062217706652,2020-11-18,C,True
324,124,35.260260592885814,2020-11-19,B,False
325,187,82.47878562777868,2020-11-20,A,True
326,326,51.56594058564534,2020-11-21,B,True
327,464,46.32936532727968,2020-11-22,B,False
328,349,4.540328146869255,2020-11-23,E,False
329,771,29.002919364890587,2020-11-24,C,True
330,660,93.10099708852998,2020-11-25,N,False
331,764,39.18239632835,2020-11-26,C,False
332,955,54.670052055676834,2020-11-27,N,True
333,932,53.20216789842518,2020-11-28,E,True
334,403,59.04310898226933,2020-11-29,D,True
335,346,6.133095564328261,2020-11-30,A,False
336,963,36.21762547987283,2020-12-01,D,True
337,511,72.31282738825541,2020-12-02,A,False
338,147,,2020-12-03,D,False
339,148,20.357837754636044,2020-12-04,B,False
340,864,1.0090606689024728,2020-12-05,D,False
341,711,43.748192660820976,2020-12-06,E,True
342,820,88.2734380673422,2020-12-07,A,False
343,489,5.190094358730901,2020-12-08,C,True
344,929,19.111870949600263,2020-12-09,E,False
345,936,31.008453834275507,2020-12-10,A,False
346,640,73.17247365642129,2020-12-11,A,True
347,551,64.06355928025866,2020-12-12,C,False
348,338,41.5943904581855,2020-12-13,B,False
349,872,75.90689392583757,2020-12-14,E,True
350,641,60.96310116569019,2020-12-15,C,False
351,779,89.60407996572191,2020-12-16,C,False
352,988,81.8026749138693,2020-12-17,B,False
353,953,25.281360608920057,2020-12-18,E,True
354,473,27.14385776342002,2020-12-19,C,False
355,946,12.535647579238562,2020-12-20,B,True
356,151,33.69647257174565,2020-12-21,E,True
357,415,99.95439187190944,2020-12-22,D,True
358,990,40.5751168615061,2020-12-23,A,False
359,298,22.04884346891064,2020-12-24,B,False
360,611,76.2482884475553,2020-12-25,A,False
361,263,54.24710034626561,2020-12-26,D,False
362,764,14.960144952695254,2020-12-27,C,True
363,144,38.06896811608658,2020-12-28,C,True
364,346,41.44697155393433,2020-12-29,E,False
365,624,75.38297005692186,2020-12-30,B,False
366,572,2.0671368891904462,2020-12-31,B,True
367,881,26.901964679831046,2021-01-01,E,False
368,2,51.7596301315522,2021-01-02,A,False
369,897,26.884674245284334,2021-01-03,C,False
370,304,62.84340474189989,2021-01-04,C,False
371,254,48.18674792746166,2021-01-05,B,False
372,652,36.17102548595806,2021-01-06,B,False
373,453,94.92086268705123,2021-01-07,E,True
374,37,63.21594991864574,2021-01-08,D,True
375,160,12.994137226794123,2021-01-09,A,True
376,9,56.00916974433955,2021-01-10,D,True
377,233,78.0731853200901,2021-01-11,D,False
378,99,70.84896974927973,2021-01-12,B,False
379,659,17.20892292952594,2021-01-13,B,True
380,816,97.24199990401033,2021-01-14,B,True
381,208,44.8813645746606,2021-01-15,D,True
382,131,15.902500374026129,2021-01-16,A,True
383,404,,2021-01-17,B,True
384,152,9.823499218908049,2021-01-18,C,False
385,54,80.35181084349344,2021-01-19,A,False
386,120,12.203049432184866,2021-01-20,C,True
387,673,12.512525714174693,2021-01-21,A,True
388,920,85.04716147608377,2021-01-22,B,False
389,628,34.46040844475596,2021-01-23,E,False
390,587,3.085790430807245,2021-01-24,B,False
391,625,5.189529951841088,2021-01-25,D,True
392,968,14.217044670389555,2021-01-26,D,False
393,420,21.339334797568952,2021-01-27,A,True
394,422,66.51461942384054,2021-01-28,D,True
395,104,15.732628000182824,2021-01-29,B,False
396,852,11.8874391177072,2021-01-30,C,False
397,254,76.47191414762791,2021-01-31,B,False
398,227,67.10552838599145,2021-02-01,A,True
399,112,43.53242214552362,2021-02-02,D,False
400,510,54.9309771480104,2021-02-03,C,False
401,473,,2021-02-04,E,True
402,99,48.25004202353607,2021-02-05,C,False
403,153,50.66726489827458,2021-02-06,C,False
404,861,38.723727117809595,2021-02-07,B,True
405,914,90.65722106721627,2021-02-08,E,True
406,896,,2021-02-09,A,True
407,878,78.21712630912462,2021-02-10,A,True
408,338,12.438283124132433,2021-02-11,C,True
409,706,79.75473605371994,2021-02-12,C,False
410,822,61.59119156767212,2021-02-13,D,False
411,163,84.32780909364024,2021-02-14,N,True
412,720,9.751432564089747,2021-02-15,C,False
413,957,,2021-02-16,D,False
414,681,50.108788026219706,2021-02-17,E,True
415,996,70.61931829633586,2021-02-18,A,True
416,161,53.42905518936758,2021-02-19,D,True
417,580,54.07345671331042,2021-02-20,E,False
418,801,42.95959435760647,2021-02-21,D,True
419,398,30.883442400734083,2021-02-22,C,False
420,277,48.226436125219216,2021-02-23,B,False
421,816,11.849235876840059,2021-02-24,A,False
422,916,96.15133389830848,2021-02-25,C,False
423,504,71.44107636265983,2021-02-26,C,True
424,896,95.24671166878468,2021-02-27,E,False
425,392,22.672738232996327,2021-02-28,D,True
426,135,87.9341020176528,2021-03-01,A,False
427,195,80.87899845635384,2021-03-02,C,True
428,401,67.71524124576736,2021-03-03,E,True
429,640,62.502918608520574,2021-03-04,A,True
430,33,31.654966526787,2021-03-05,D,False
431,688,81.64107849650307,2021-03-06,C,False
432,460,50.15154614797338,2021-03-07,C,False
433,955,7.089157589128536,2021-03-08,C,True
434,883,31.286316085513,2021-03-09,A,False
435,470,93.52970985453275,2021-03-10,A,False
436,375,85.06802606048463,2021-03-11,A,False
437,22,98.19056980765392,2021-03-12,A,True
438,750,62.79933826040981,2021-03-13,E,False
439,670,24.751007314041196,2021-03-14,N,False
440,38,16.281504967686377,2021-03-15,E,True
441,230,18.691444060846163,2021-03-16,C,True
442,365,1.9795658347254386,2021-03-17,E,True
443,563,39.06821109859392,2021-03-18,N,True
444,438,19.14276804995425,2021-03-19,A,True
445,776,41.16554604567024,2021-03-20,D,True
446,283,93.49944318387654,2021-03-21,N,False
447,27,43.05402095071899,2021-03-22,C,False
448,226,87.79844969848348,2021-03-23,A,True
449,277,60.55047666158765,2021-03-24,D,False
450,798,24.71315546613919,2021-03-25,C,True
451,609,35.58547592592114,2021-03-26,A,False
452,284,8.391953582142941,2021-03-27,B,True
453,879,33.34625935960105,2021-03-28,C,True
454,960,67.7540945503534,2021-03-29,E,False
455,481,7.211109292943519,2021-03-30,A,False
456,453,,2021-03-31,D,False
457,829,38.14410414133115,2021-04-01,D,False
458,816,98.20495370159625,2021-04-02,E,False
459,659,78.48618229588801,2021-04-03,E,False
460,516,73.3486746492104,2021-04-04,D,False
461,547,11.619095652544598,2021-04-05,A,False
462,192,78.09958936149914,2021-04-06,C,True
463,49,78.52688115160151,2021-04-07,E,False
464,512,60.110269562432826,2021-04-08,E,False
465,17,99.0361781998372,2021-04-09,E,True
466,172,32.525390592455196,2021-04-10,B,True
467,220,94.12724482418517,2021-04-11,A,True
468,158,91.47311149565036,2021-04-12,A,True
469,477,1.1480659749377842,2021-04-13,A,False
470,46,45.01165264748111,2021-04-14,A,False
471,373,97.71042330515733,2021-04-15,A,True
472,518,10.312136240807579,2021-04-16,D,True
473,99,54.778469438331946,2021-04-17,E,False
474,892,97.89575070411041,2021-04-18,D,False
475,745,55.549542410586014,2021-04-19,B,False
476,37,18.9815302972156,2021-04-20,C,False
477,280,58.218323009258974,2021-04-21,E,True
478,349,20.444057394954683,2021-04-22,B,False
479,497,51.970426289448426,2021-04-23,D,True
480,302,7.4042217912348,2021-04-24,C,True
481,181,60.548266921440465,2021-04-25,B,True
482,607,51.67899391281582,2021-04-26,C,False
483,99,74.0161368761463,2021-04-27,B,True
484,700,63.0700471158785,2021-04-28,D,False
485,993,54.96062685307567,2021-04-29,C,True
486,116,68.97788492481212,2021-04-30,B,False
487,191,14.394191357223086,2021-05-01,D,True
488,253,59.535966125860405,2021-05-02,E,False
489,981,17.211060282277767,2021-05-03,D,False
490,928,92.55222078518808,2021-05-04,D,False
491,983,6.833410484560421,2021-05-05,E,True
492,161,43.03747496907933,2021-05-06,D,True
493,256,69.57974776554448,2021-05-07,E,False
494,323,45.80222116682587,2021-05-08,E,True
495,128,9.209525323290235,2021-05-09,E,False
496,18,55.337901612670734,2021-05-10,B,False
497,793,64.16319088273545,2021-05-11,C,True
498,735,70.37923109905077,2021-05-12,B,False
499,566,37.32598144627589,2021-05-13,E,True
500,570,56.36599710287622,2021-05-14,C,False
501,323,45.06864749389131,2021-05-15,C,False
502,872,67.20560387522534,2021-05-16,E,True
503,686,58.35569673248185,2021-05-17,C,False
504,792,52.57562195591349,2021-05-18,C,True
505,626,,2021-05-19,B,False
506,288,0.20185177482339167,2021-05-20,C,False
507,943,17.408167531142926,2021-05-21,E,False
508,854,11.706604142416865,2021-05-22,A,False
509,663,44.90847450109467,2021-05-23,A,True
510,962,61.22581507618447,2021-05-24,A,False
511,639,21.308500868480817,2021-05-25,E,False
512,155,93.90570959671871,2021-05-26,A,False
513,490,0.6682129223887778,2021-05-27,B,True
514,386,77.23010151653429,2021-05-28,E,True
515,986,62.52047695304422,2021-05-29,E,True
516,785,37.35548010476819,2021-05-30,E,True
517,104,,2021-05-31,C,False
518,929,,2021-06-01,C,False
519,393,38.56135128656481,2021-06-02,C,False
520,811,93.62671394132191,2021-06-03,N,True
521,246,54.19900748897659,2021-06-04,B,True
522,176,93.96515112935082,2021-06-05,E,False
523,39,22.04836934733041,2021-06-06,E,False
524,477,72.57259103641033,2021-06-07,C,False
525,682,61.72490208487257,2021-06-08,E,True
526,759,73.94082298313118,2021-06-09,E,False
527,538,21.466786397253678,2021-06-10,A,False
528,867,66.49945162377738,2021-06-11,E,True
529,818,49.8040393056869,2021-06-12,D,False
530,921,74.28249749063163,2021-06-13,C,False
531,408,32.704464415181775,2021-06-14,B,True
532,525,89.00570254652526,2021-06-15,B,False
533,828,8.430131461135037,2021-06-16,A,False
534,506,80.7189318791188,2021-06-17,B,False
535,903,86.13196258150909,2021-06-18,B,False
536,825,81.72523113668213,2021-06-19,C,False
537,36,,2021-06-20,C,True
538,685,43.83849800307613,2021-06-21,D,True
539,20,99.62622865248768,2021-06-22,A,False
540,321,22.917195121416214,2021-06-23,B,False
541,776,54.68759658760446,2021-06-24,D,False
542,512,67.06755253823256,2021-06-25,A,True
543,400,70.08676358614319,2021-06-26,B,True
544,654,,2021-06-27,B,False
545,972,65.39940923398012,2021-06-28,C,True
546,883,81.83695664813374,2021-06-29,E,True
547,471,5.001857682111222,2021-06-30,A,True
548,143,91.15212933253164,2021-07-01,B,True
549,92,2.950405514520593,2021-07-02,A,False
550,354,35.59710324883943,2021-07-03,D,True
551,834,1.5813196232962068,2021-07-04,D,False
552,800,7.7145168539581865,2021-07-05,E,True
553,727,91.1168285180079,2021-07-06,B,False
554,959,35.48608307461478,2021-07-07,C,False
555,854,42.477153042505286,2021-07-08,B,True
556,51,21.53443813825526,2021-07-09,A,False
557,665,59.70957701867198,2021-07-10,D,False
558,698,59.480321467778964,2021-07-11,A,True
559,575,37.22003918252192,2021-07-12,E,False
560,190,33.30348718053984,2021-07-13,D,True
561,125,88.49643081805878,2021-07-14,C,False
562,150,38.328423964220136,2021-07-15,D,True
563,314,49.35009921544082,2021-07-16,B,True
564,570,28.330476242493063,2021-07-17,B,True
565,342,78.67695033571273,2021-07-18,D,True
566,305,39.74481568990916,2021-07-19,E,True
567,692,51.36110465443245,2021-07-20,B,False
568,682,25.335717005966142,2021-07-21,B,False
569,838,98.76595923412518,2021-07-22,C,True
570,783,29.149574092372287,2021-07-23,D,False
571,54,77.07425309055516,2021-07-24,B,False
572,444,42.74956503567592,2021-07-25,E,False
573,613,20.62174050841399,2021-07-26,A,True
574,993,79.97187639648612,2021-07-27,D,True
575,264,33.36067890290432,2021-07-28,C,False
576,53,86.5193347397811,2021-07-29,B,True
577,572,91.5257184917823,2021-07-30,E,True
578,620,85.9823835391276,2021-07-31,D,False
579,5,3.500791480680565,2021-08-01,E,True
580,103,78.73733450051056,2021-08-02,E,True
581,196,41.133946649914385,2021-08-03,C,True
582,774,87.37229201822251,2021-08-04,D,True
583,877,63.795426268473875,2021-08-05,B,True
584,992,83.36431341439584,2021-08-06,C,False
585,884,49.94317698668353,2021-08-07,B,True
586,350,53.502550459893286,2021-08-08,A,True
587,47,14.438763213366723,2021-08-09,E,False
588,867,78.39873586893555,2021-08-10,A,False
589,823,41.93896116669716,2021-08-11,E,True
590,936,50.00801182715826,2021-08-12,C,False
591,820,78.50977140957076,2021-08-13,N,True
592,656,59.8845400079439,2021-08-14,B,False
593,269,20.109872744266745,2021-08-15,C,True
594,370,59.023265915089276,2021-08-16,D,False
595,636,40.76328579796558,2021-08-17,A,True
596,106,46.95255420438627,2021-08-18,A,False
597,670,2.8311274402667785,2021-08-19,B,True
598,659,21.00293495162816,2021-08-20,N,True
599,657,28.103808138102828,2021-08-21,B,True
600,120,71.29600078588058,2021-08-22,C,False
601,831,1.1492473298115313,2021-08-23,D,False
602,787,40.8777261229132,2021-08-24,A,True
603,604,92.40268704257329,2021-08-25,E,True
604,58,11.188061654912385,2021-08-26,C,True
605,951,51.642438821861106,2021-08-27,A,True
606,346,78.65223823908471,2021-08-28,D,False
607,741,94.25313075201167,2021-08-29,C,False
608,474,74.67766395337179,2021-08-30,A,False
609,117,72.05655486444061,2021-08-31,C,True
610,830,82.64880901957625,2021-09-01,A,True
611,791,44.62012209775437,2021-09-02,A,False
612,127,80.58445326178331,2021-09-03,D,False
613,393,0.7964404745451126,2021-09-04,E,False
614,908,92.45610553768049,2021-09-05,D,False
615,641,44.33065095171753,2021-09-06,A,True
